,titulos,subtitulos,links
52,RAF TRADE,Man Utd send scouts to watch Rafael Leao as Erik Ten Hag lines up £60m star,https://www.thesun.co.uk/sport/20122386/man-united-scouts-rafael-leao-ten-hag/
53,DENNIS THE MENACE,Tottenham in transfer battle with Brentford to sign Sunderland wonderkid,https://www.thesun.co.uk/sport/20118829/dennis-cirkin-transfer-brentford-tottenham-sunderland/
54,BETTER CALL SAL,PSG eye move for Arsenal's William Saliba just months after Emirates return,https://www.thesun.co.uk/sport/20116325/psg-transfer-arsenal-william-saliba/
55,NOT RON,Ronaldo handed another brutal transfer snub as Atletico Madrid boss rules out move,https://www.thesun.co.uk/sport/20123136/cristiano-ronaldo-transfer-snub-atletico-madrid-simeone/
56,FOOTBALL LATEST,Football News Live: Benzema WINS Ballon d'Or ahead of Premier League stars,https://www.thesun.co.uk/sport/19994688/football-news-live-karim-benzema-ballon-dor-2022-spiurs-zaniolo/
57,UNITED NEWS,Ronaldo sends Sir Alex message as Gakpo linked with Old Trafford switch,https://www.thesun.co.uk/sport/19994861/man-utd-news-live-ronaldo-sir-alex-leao-gakpo-transfer/
58,GUNNERS LIVE,Gunners target midfielder AND winger as Atletico eye Trossard,https://www.thesun.co.uk/sport/19993834/arsenal-news-live-trossard-atletico-madrid-lokonga-arteta/
59,DRINK… IT'S ALL OVER,England's Wags given strict rules to follow to avoid World Cup crisis,https://www.thesun.co.uk/sport/20126739/fa-warning-list-england-wags-world-cup-qatar/
60,FLIPPIN HECK,England World Cup rivals Iran could pick star who can score from throw-ins,https://www.thesun.co.uk/sport/20133092/iran-goal-throw-in-world-cup-england/
61,IT'S COMING HOME,Be part of talkSPORT's World Cup Fan Zone showing EVERY game from Qatar,https://www.thesun.co.uk/sport/20098057/world-cup-2022-london-fan-zone-tickets-talksport/
62,CUP CONTENDERS,Lionel Messi names five World Cup 2022 favourites including England,https://www.thesun.co.uk/sport/20130532/lionel-messi-world-cup-predictions/
63,TIM VICKERY,"Brazil sweating on Richarlison injury, but could turn to Arsenal star Jesus",https://www.thesun.co.uk/sport/20128851/brazil-richarlison-injury-gabriel-jesus/
64,PAUL GOOD,Pogba set to return for Juventus in huge boost to World Cup chances,https://www.thesun.co.uk/sport/20128461/paul-pogba-return-juventus-world-cup-france/
65,ROSS THE BOSS,Italy icon looks unrecognisable from 2006 World Cup win as he gets first job,https://www.thesun.co.uk/sport/20064556/italy-legend-daniele-de-rossi-unrecognisable-spal-manager/
66,KARREN BRADY,Violence on refs is blight on our game and physical assaults numbers alarming,https://www.thesun.co.uk/sport/20114634/violence-referees-assaults-karren-brady/
67,TROY DEENEY,Newcastle are transfer market assassins unlike Man Utd who have four issues,https://www.thesun.co.uk/sport/20113613/newcastle-transfer-man-utd-deeney/
68,DAVE KIDD,I was shocked Arteta wasn't sacked but now Arsenal are Prem's most exciting side,https://www.thesun.co.uk/sport/20066371/arsenal-mikel-arteta-premier-league-exciting-team/
69,HOW ABOUT THAT,Gabby Howell stuns on girls' night out before helping Sutton beat Dartford,https://www.thesun.co.uk/sport/20128644/gabby-howell-night-out-sutton-dartford/
70,UP FOR THE CUPS,England ace Jack Grealish shares pics of bizarre 'hot cupping' treatment,https://www.thesun.co.uk/sport/20118647/england-ace-jack-grealish-hot-cupping-treatment-football/
71,TAKE YOUR SEATS,Giggs takes girlfriend to watch match alongside fellow Man Utd legends,https://www.thesun.co.uk/sport/20119693/ryan-giggs-girlfriend-salford-man-utd-keane-scholes/
72,NOTHING TO SEE HAIR,Fans baffled as Antony and Martinez bald with no eyebrows on FIFA 23,https://www.thesun.co.uk/sport/20127780/man-utd-antony-lisandro-martinez-bald-fifa-23/
73,GUARD OF HONOUR,Pep Guardiola's stunning daughter Maria enjoys coffee in figure-hugging top,https://www.thesun.co.uk/sport/20099819/man-city-pep-guardiola-daughter-maria-date/
74,BEST IN CLASS,Trevoh Chalobah & Bukayo Saka feature in best Dream Team of Game Week 9,https://www.thesun.co.uk/sport/football/dream-team/20107779/trevoh-chalobah-bukayo-saka-game-week-fantasy-football/
75,PLAY NOW,Dream Team's October monthly competition gets underway soon - PS5 up for grabs!,https://www.thesun.co.uk/sport/football/dream-team/20003256/monthly-competition-prize-playstation-5-fantasy-football-october/
76,IBROX EXHIBITION,Mohamed Salah's rapid-fire hat-trick serves as timely reminder for critics,https://www.thesun.co.uk/sport/football/dream-team/20093947/mohamed-salah-rangers-hat-trick-fantasy-football-liverpool/
